Win-Loss Percentage,SO,IP,Age,Lg,H,R,ERA,SB,BA,OBP
0.565,164,201.2,29,NL,204,89,3.66,7,0.264,0.305
0.625,164,190.1,30,AL,171,81,3.55,18,0.239,0.292
0.458,164,214.1,26,NL,217,93,3.7,12,0.263,0.313
0.765,164,168.2,26,AL,124,51,2.61,10,0.201,0.268
0.563,164,200,24,AL,188,83,3.51,7,0.247,0.3
0.737,163,182.2,32,NL,160,53,2.32,1,0.234,0.263
0.583,163,168.1,31,NL,150,82,3.53,19,0.236,0.305
0.667,163,146.2,33,AL,125,65,3.62,4,0.228,0.306
0.833,163,195,33,AL,168,72,3.18,7,0.231,0.295
0.458,163,214,30,AL,228,122,4.96,12,0.273,0.319
0.412,163,181.1,28,NL,180,108,4.91,2,0.259,0.337
0.667,163,161,29,NL,134,54,3.02,7,0.224,0.297
0.333,162,161.2,26,AL,161,95,4.79,11,0.256,0.322
0.476,162,174.2,28,NL,148,81,3.81,15,0.23,0.328
0.412,162,164.1,28,AL,151,89,4.49,11,0.242,0.324
0.5,162,175.2,27,NL,122,80,3.94,19,0.196,0.298
0.636,162,191.1,27,NL,154,80,3.76,12,0.22,0.303
0.5,162,180.2,27,AL,156,80,3.59,17,0.227,0.307
0.5,162,158.2,28,NL,134,66,3.57,8,0.23,0.299
0.526,162,158,29,AL,162,76,4.04,6,0.262,0.316
0.5,162,198.1,33,NL,188,91,3.72,6,0.254,0.305
0.762,162,198,24,AL,201,97,3.95,7,0.262,0.325
0.542,162,192.2,34,NL,178,91,3.69,8,0.243,0.291
0.577,162,213,25,AL,189,93,3.72,6,0.237,0.301
0.56,161,199,28,NL,184,82,3.44,10,0.247,0.294
0.5,161,156.2,31,AL,163,87,4.77,7,0.265,0.35
0.429,161,146.2,26,NL,138,83,4.85,2,0.25,0.329
0.867,161,132,29,AL,100,46,3,10,0.206,0.294
0.647,161,137.1,26,AL,121,61,3.87,4,0.235,0.319
0.882,161,192,23,AL,161,69,3,12,0.224,0.29
0.591,161,198.2,34,NL,220,108,4.62,5,0.287,0.339
0.5,161,204.1,36,NL,215,88,3.57,19,0.273,0.332
0.435,161,189.1,34,AL,179,80,3.52,36,0.247,0.29
0.474,161,211,30,AL,190,85,3.24,13,0.238,0.288
0.679,161,213.1,27,NL,192,81,3.25,14,0.239,0.279
0.565,161,174.2,25,NL,183,95,4.48,31,0.271,0.344
0.448,161,202,36,NL,196,77,3.07,9,0.254,0.301
0.65,160,160,31,AL,175,99,4.84,6,0.275,0.339
0.571,160,164,25,NL,137,74,3.9,12,0.226,0.317
0.333,160,216,30,NL,226,116,4.46,15,0.268,0.315
0.409,159,170.1,27,AL,146,87,4.39,18,0.229,0.294
0.667,159,156,29,AL,141,68,3.75,7,0.24,0.29
0.583,159,183,23,AL,168,70,3.2,1,0.24,0.311
0.556,159,206,31,AL,223,114,4.54,13,0.275,0.33
0.609,159,208.2,29,AL,229,91,3.67,8,0.281,0.329
0.423,159,206.1,27,AL,212,122,4.93,25,0.269,0.348
0.458,159,196.1,35,NL,180,87,3.39,14,0.243,0.291
0.481,158,183.1,30,NL,184,95,4.42,3,0.26,0.314
0.5,158,163.2,26,NL,144,78,4.18,5,0.233,0.297
0.542,158,174.1,29,NL,162,81,4.03,6,0.246,0.319
0.571,158,165.2,25,NL,170,82,4.13,14,0.267,0.327
0.444,158,184.1,28,NL,158,85,4,17,0.228,0.289
0.609,158,189.2,34,NL,171,76,3.37,10,0.242,0.309
